accuracy,accuracy_pct,num_params,params_M,train_time_s,crowding_dist,source,chromosome
0.993,99.3,506794,0.507,48.0,inf,Phase3_GA,"[4, 1, 3, 3, 1, 0, 0, 2, 3, 2, 1, 1]"
0.9917,99.17,691370,0.691,47.9,0.2795,Phase3_GA,"[4, 1, 3, 4, 1, 0, 0, 2, 3, 2, 1, 1]"
0.9912,99.12,1111546,1.112,47.3,inf,Phase3_GA,"[4, 0, 3, 3, 1, 1, 1, 3, 3, 2, 1, 0]"
0.991,99.1,137930,0.138,49.4,inf,Phase3_GA,"[4, 1, 1, 3, 0, 0, 0, 2, 2, 3, 1, 1]"
0.991,99.1,848890,0.849,47.5,0.4388,Phase3_GA,"[4, 0, 3, 3, 1, 1, 1, 2, 3, 1, 1, 1]"
0.9897,98.97,203722,0.204,48.1,0.2257,Phase3_GA,"[4, 1, 1, 3, 0, 0, 0, 3, 2, 3, 1, 1]"
0.9892,98.92,276362,0.276,48.0,0.2651,Phase3_GA,"[4, 1, 3, 3, 0, 0, 0, 2, 2, 3, 1, 1]"
0.9868,98.68,239898,0.24,46.2,0.5099,Phase3_GA,"[4, 0, 1, 3, 0, 1, 1, 2, 2, 3, 1, 0]"
0.981,98.1,605258,0.605,43.4,0.652,Phase3_GA,"[2, 1, 4, 3, 1, 1, 0, 2, 3, 1, 0, 1]"
0.945,94.5,114602,0.115,47.4,0.3715,Phase3_GA,"[2, 2, 1, 0, 4, 2, 2, 1, 2, 0, 0, 1]"
0.8455,84.55,212746,0.213,42.0,0.8017,Phase3_GA,"[1, 4, 0, 3, 5, 2, 2, 3, 2, 2, 0, 1]"
0.628,62.8,71466,0.071,42.7,0.8796,Phase3_GA,"[2, 0, 4, 0, 1, 0, 2, 1, 1, 3, 0, 0]"
0.5565,55.65,6330,0.006,42.0,inf,Phase3_GA,"[1, 0, 4, 1, 4, 1, 0, 2, 0, 1, 1, 1]"
0.5355,53.55,14010,0.014,40.4,inf,Phase3_GA,"[1, 0, 5, 4, 0, 0, 0, 1, 3, 3, 1, 0]"
